spec	Fold_0
nist_1102013	test
nist_1102031	train
nist_1102044	train
nist_1102050	train
nist_1102063	train
nist_1102068	train
nist_1102071	train
nist_1102083	test
nist_1102088	train
nist_1102123	val
nist_1102135	val
nist_1102139	test
nist_1102146	test
nist_1102159	test
nist_1102179	test
nist_1102193	test
nist_1102195	test
nist_1102208	test
nist_1102214	test
nist_1102220	train
nist_1102232	test
nist_1102246	train
nist_1102259	train
nist_1102271	train
nist_1102283	train
nist_1102286	train
nist_1102313	train
nist_1102332	train
nist_1102337	test
nist_1102344	test
nist_1102359	test
nist_1102372	test
nist_1102378	val
nist_1102393	val
nist_1102408	train
nist_1102423	train
nist_1102452	test
nist_1127505	val
nist_1127559	train
nist_1127593	test
nist_1127614	val
nist_1127634	test
nist_1127654	test
nist_1127691	train
nist_1127748	train
nist_1127770	train
nist_1127826	test
nist_1127841	test
nist_1127910	test
nist_1127928	test
nist_1127980	val
nist_1128073	test
nist_1128107	test
nist_1128176	test
nist_1128197	test
nist_1128230	train
nist_1128250	train
nist_1128281	test
nist_1128381	test
nist_1128401	test
nist_1128490	test
nist_1128509	test
nist_1128525	test
nist_1128585	train
nist_1128638	train
nist_1128650	train
nist_1128663	test
nist_1128696	train
nist_1128713	train
nist_1128780	test
nist_1128872	val
nist_1128891	test
nist_1128913	test
nist_1128931	train
nist_1128982	val
nist_1129041	train
nist_1129066	train
nist_1129084	test
nist_1129105	test
nist_1129114	train
nist_1129164	test
nist_1129177	test
nist_1129213	train
nist_1129238	test
nist_1129265	test
nist_1129282	train
nist_1129301	train
nist_1129359	train
nist_1129377	train
nist_1129386	test
nist_1129446	train
nist_1129473	train
nist_1129508	test
nist_1129613	train
nist_1129624	train
nist_1129733	train
nist_1129752	train
nist_1129820	test
nist_1129863	train
nist_1129881	test
nist_1129924	test
nist_1130003	test
nist_1130136	test
nist_1130323	test
nist_1130345	test
nist_1130451	train
nist_1130471	train
nist_1130552	train
nist_1130574	train
nist_1130665	train
nist_1130720	test
nist_1130791	train
nist_1130804	train
nist_1130894	test
nist_1130941	test
nist_1131005	test
nist_1131070	test
nist_1131090	test
nist_1131211	train
nist_1131267	test
nist_1131287	test
nist_1131337	train
nist_1131369	train
nist_1131392	train
nist_1131413	train
nist_1131501	train
nist_1131523	train
nist_1131629	test
nist_1131650	test
nist_1131666	test
nist_1131686	test
nist_1131699	train
nist_1131723	train
nist_1131739	test
nist_1131779	test
nist_1131797	val
nist_1131820	test
nist_1131879	train
nist_1131900	train
nist_1131970	test
nist_1131997	test
nist_1132018	test
nist_1132101	train
nist_1132161	val
nist_1132222	test
nist_1132337	train
nist_1132383	train
nist_1132438	train
nist_1132495	train
nist_1132549	test
nist_1132581	train
nist_1132659	train
nist_1132683	train
nist_1132728	test
nist_1132749	test
nist_1132753	val
nist_1132777	val
nist_1132830	train
nist_1132851	train
nist_1132871	train
nist_1132880	train
nist_1132898	train
nist_1132909	train
nist_1132935	test
nist_1132959	test
nist_1132997	train
nist_1133018	train
nist_1133053	test
nist_1133076	test
nist_1133111	val
nist_1133133	val
nist_1133183	train
nist_1133224	train
nist_1133229	train
nist_1133250	train
nist_1133297	train
nist_1133298	train
nist_1133318	train
nist_1133361	train
nist_1133383	train
nist_1133434	test
nist_1133468	test
nist_1133487	test
nist_1133505	test
nist_1133538	test
nist_1133585	train
nist_1133604	test
nist_1133619	train
nist_1133642	test
nist_1133666	test
nist_1133686	train
nist_1133711	train
nist_1133750	train
nist_1133766	train
nist_1133777	test
nist_1133814	test
nist_1133851	train
nist_1133874	train
nist_1133935	train
nist_1133959	train
nist_1134011	train
nist_1134026	train
nist_1134039	test
nist_1134059	test
nist_1134075	test
nist_1134095	test
nist_1134121	test
nist_1134135	train
nist_1134199	test
nist_1134247	test
nist_1134298	test
nist_1134353	test
nist_1134376	test
nist_1134400	test
nist_1134422	test
nist_1134442	test
nist_1134516	train
nist_1134536	train
nist_1134560	test
nist_1134609	train
nist_1134631	train
nist_1134675	test
nist_1134696	test
nist_1134780	train
nist_1134807	train
nist_1134868	test
nist_1134903	train
nist_1134943	train
nist_1134998	train
nist_1135048	test
nist_1135072	test
nist_1135117	test
nist_1135138	test
nist_1135151	test
nist_1135173	test
nist_1135193	test
nist_1135202	val
nist_1135223	val
nist_1135232	train
nist_1135253	train
nist_1135294	train
nist_1135355	test
nist_1135378	test
nist_1135420	train
nist_1135486	test
nist_1135506	test
nist_1135558	train
nist_1135576	train
nist_1135609	train
nist_1135660	train
nist_1135710	test
nist_1135747	val
nist_1135798	train
nist_1135850	test
nist_1135887	test
nist_1135928	val
nist_1135969	train
nist_1136006	test
nist_1136026	test
nist_1136046	test
nist_1136071	train
nist_1136107	test
nist_1136145	train
nist_1136186	test
nist_1136223	train
nist_1136275	test
nist_1136296	test
nist_1136343	train
nist_1136391	test
nist_1136444	test
nist_1136497	train
nist_1136554	train
nist_1136576	train
nist_1136598	test
nist_1136657	train
nist_1136677	train
nist_1136690	test
nist_1136713	test
nist_1136753	test
nist_1136807	train
nist_1136858	train
nist_1136916	train
nist_1136942	train
nist_1136987	train
nist_1137041	test
nist_1137094	test
nist_1137126	train
nist_1137149	train
nist_1137168	test
nist_1137190	test
nist_1137238	test
nist_1137289	train
nist_1137346	train
nist_1137399	train
nist_1137420	train
nist_1137441	val
nist_1137462	val
nist_1137513	test
nist_1137534	test
nist_1137554	train
nist_1137575	train
nist_1137630	train
nist_1137650	train
nist_1137699	test
nist_1137710	test
nist_1137798	val
nist_1137817	val
nist_1137854	test
nist_1137876	test
nist_1137925	train
nist_1137950	train
nist_1138006	test
nist_1138024	test
nist_1138077	train
nist_1138099	train
nist_1138160	train
nist_1138184	train
nist_1138243	test
nist_1138266	test
nist_1138311	test
nist_1138331	test
nist_1138369	train
nist_1138397	train
nist_1138411	test
nist_1138435	test
nist_1138455	test
nist_1138475	val
nist_1138495	val
nist_1138516	train
nist_1138539	train
nist_1138588	train
nist_1138634	train
nist_1138656	train
nist_1138709	test
nist_1138725	test
nist_1138763	train
nist_1138812	val
nist_1138866	test
nist_1138897	test
nist_1138917	test
nist_1138938	test
nist_1138990	train
nist_1139040	train
nist_1139061	train
nist_1139116	train
nist_1139138	train
nist_1139175	val
nist_1139197	val
nist_1139217	test
nist_1139239	test
nist_1139261	train
nist_1139281	train
nist_1139301	test
nist_1139322	test
nist_1139343	train
nist_1139368	train
nist_1139390	test
nist_1139411	test
nist_1139452	test
nist_1139473	test
nist_1139506	train
nist_1139528	train
nist_1139584	train
nist_1139602	train
nist_1139654	test
nist_1139676	train
nist_1139697	train
nist_1139730	train
nist_1139750	test
nist_1139775	test
nist_1139811	test
nist_1139832	test
nist_1139875	train
nist_1139894	train
nist_1139942	train
nist_1139964	train
nist_1139983	train
nist_1140021	train
nist_1140043	train
nist_1140084	train
nist_1140111	train
nist_1140133	train
nist_1140192	train
nist_1140216	train
nist_1140252	test
nist_1140304	test
nist_1140360	test
nist_1140392	test
nist_1140447	train
nist_1140460	train
nist_1140488	train
nist_1140546	val
nist_1140603	train
nist_1140625	train
nist_1140688	test
nist_1140710	test
nist_1140734	test
nist_1140780	test
nist_1140834	test
nist_1140852	test
nist_1140861	train
nist_1140882	test
nist_1140952	test
nist_1140974	test
nist_1140997	train
nist_1141016	train
nist_1141081	train
nist_1141104	train
nist_1141124	test
nist_1141158	train
nist_1141180	test
nist_1141201	train
nist_1141222	train
nist_1141246	test
nist_1141266	test
nist_1141288	test
nist_1141310	train
nist_1141323	train
nist_1141344	test
nist_1141365	train
nist_1141392	train
nist_1141422	train
nist_1141450	train
nist_1141463	train
nist_1141512	test
nist_1141530	train
nist_1141552	train
nist_1141563	train
nist_1141582	train
nist_1141605	test
nist_1141664	val
nist_1141793	train
nist_1141976	test
nist_1141996	test
nist_1142100	test
nist_1142123	test
nist_1142170	test
nist_1142236	test
nist_1142296	val
nist_1142352	test
nist_1142372	test
nist_1142442	train
nist_1142463	train
nist_1142505	train
nist_1142541	train
nist_1142596	train
nist_1142617	train
nist_1142636	test
nist_1142657	test
nist_1142709	train
nist_1142761	test
nist_1142784	test
nist_1142806	test
nist_1142836	train
nist_1142910	test
nist_1142944	test
nist_1142968	test
nist_1142990	test
nist_1143012	test
nist_1143022	train
nist_1143051	train
nist_1143099	train
nist_1143158	train
nist_1143170	train
nist_1143179	test
nist_1143206	test
nist_1143227	test
nist_1143256	train
nist_1143270	train
nist_1143289	test
nist_1143310	test
nist_1143332	test
nist_1143337	train
nist_1143346	train
